abandon,neg
abandonment,neg
abate,neg
abdicate,neg
abhor,neg
abide,pos
ability,pos
abject,neg
able,pos
abnormal,neg
abolish,neg
abominable,neg
abound,pos
abrasive,neg
abrupt,neg
abscond,neg
absence,neg
absent,neg
absentee,neg
absolve,pos
absorbent,pos
absorption,pos
absurd,neg
absurdity,neg
abundance,pos
abundant,pos
abuse,neg
abyss,neg
accede,pos
accentuate,pos
accept,pos
acceptable,pos
acceptance,pos
accessible,pos
accession,pos
accident,neg
acclaim,pos
acclamation,pos
accolade,pos
accommodate,pos
accommodation,pos
accompaniment,pos
accomplish,pos
accomplishment,pos
accord,pos
accordance,pos
accost,neg
accountable,pos
accrue,pos
accuracy,pos
accurate,pos
accurateness,pos
accursed,neg
accusation,neg
accuse,neg
ache,neg
achieve,pos
achievement,pos
acknowledgement,pos
acquaint,pos
acquaintance,pos
acquit,pos
acquittal,pos
acrimonious,neg
acrimony,neg
actual,pos
actuality,pos
adamant,pos
adaptability,pos
adaptable,pos
adaptation,pos
adaptive,pos
addict,neg
addiction,neg
adept,pos
adeptness,pos
adequate,pos
adherence,pos
adherent,pos
adhesion,pos
adhesive,pos
adjunct,pos
adjust,pos
adjustable,pos
adjustment,pos
admirable,pos
admiration,pos
admire,pos
admirer,pos
admit,pos
admittance,pos
admonish,neg
admonition,neg
adorable,pos
adore,pos
adorn,pos
adornment,pos
adroit,pos
adroitly,pos
adulation,pos
adult,pos
adulterate,neg
adulteration,neg
adultery,neg
advance,pos
advancement,pos
advantage,pos
advantageous,pos
advent,pos
adventuresome,pos
adventurous,pos
adversary,neg
adverse,neg
adversity,neg
advisable,pos
advocacy,pos
affability,pos
affable,pos
affectation,neg
affection,pos
affectionate,pos
affiliate,pos
affiliation,pos
affinity,pos
affirm,pos
affirmation,pos
affirmative,pos
affix,pos
afflict,neg
affliction,neg
affluence,pos
affluent,pos
afloat,pos
afraid,neg
against,neg
aggravate,neg
aggravation,neg
aggregate,pos
aggregation,pos
aggression,neg
aggressive,neg
aggressiveness,neg
aggressor,neg
aggrieve,neg
aghast,neg
agile,pos
agility,pos
agitate,neg
agitation,neg
agitator,neg
agonize,neg
agony,neg
agreeable,pos
agreement,pos
aid,pos
ail,neg
ailment,neg
aimless,neg
alarm,neg
alarming,neg
alas,neg
alertness,pos
alibi,neg
alien,neg
alienate,neg
alienation,neg
alight,pos
alive,pos
allegation,neg
allege,neg
allegiance,pos
alleviate,pos
alliance,pos
allied,pos
allies,pos
allow,pos
allowable,pos
allowance,pos
allure,pos
ally,pos
almighty,pos
aloof,neg
altercation,neg
altruistic,pos
amazement,pos
amazing,pos
ambiguity,neg
ambiguous,neg
ambivalent,neg
ambush,neg
ameliorate,pos
amenable,pos
amenity,pos
amiability,pos
amiable,pos
amicable,pos
amiss,neg
amnesty,pos
amour,pos
ample,pos
amplify,pos
amply,pos
amputate,neg
amuse,pos
amusement,pos
anarchist,neg
anarchy,neg
angel,pos
angelic,pos
anger,neg
angry,neg
anguish,neg
animosity,neg
annihilate,neg
annihilation,neg
annoy,neg
annoyance,neg
anoint,pos
anomalous,neg
anomaly,neg
antagonism,neg
antagonist,neg
antagonistic,neg
antagonize,neg
antipathy,neg
antiquated,neg
antitrust,neg
anxiety,neg
anxious,neg
anxiousness,neg
apathetic,neg
apathy,neg
apocalypse,pos
appall,neg
appeal,pos
appease,pos
append,pos
applaud,pos
applause,pos
appoint,pos
appreciable,pos
appreciate,pos
appreciation,pos
appreciative,pos
apprehend,pos
apprehension,neg
apprehensive,neg
approach,pos
appropriate,pos
approval,pos
approve,pos
apt,pos
aptitude,pos
arbiter,pos
arbitrary,neg
arbitrate,pos
arbitration,pos
ardent,pos
arduous,neg
argue,neg
argument,neg
arisen,pos
aristocracy,pos
aristocrat,pos
aristocratic,pos
arrest,pos
arrest,neg
arrogance,neg
arrogant,neg
art,pos
artificial,neg
ascribe,pos
ashamed,neg
aspiration,pos
aspire,pos
assail,neg
assailant,neg
assassin,neg
assassinate,neg
assault,neg
assent,pos
assertion,pos
asset,pos
assist,pos
assistance,pos
assistant,pos
associate,pos
association,pos
assurance,pos
assure,pos
assuredly,pos
astound,pos
astray,neg
astute,pos
asunder,neg
athletic,pos
atrocious,neg
atrophy,neg
attachment,pos
attack,neg
attain,pos
attainment,pos
attend,pos
attendance,pos
attentive,pos
attract,pos
attraction,pos
attractive,pos
attractiveness,pos
attune,pos
audacious,neg
audacity,neg
audible,pos
augment,pos
augmentation,pos
auspicious,pos
austere,neg
authentic,pos
authenticity,pos
authoritative,pos
authority,pos
autocrat,neg
autocratic,neg
autonomous,pos
availability,pos
avarice,neg
avaricious,neg
avenge,neg
aversion,neg
avert,neg
avid,pos
avoid,neg
avoidance,neg
award,pos
aware,pos
awareness,pos
awful,neg
awkward,neg
awkwardness,neg
ax,neg
babble,neg
back,pos
backbone,pos
backer,pos
backing,pos
backward,neg
backwardness,neg
bad,neg
badly,neg
baffle,neg
bafflement,neg
bail,neg
bait,neg
balk,neg
ball,pos
balmy,pos
banal,neg
bandit,neg
bane,neg
banish,neg
banishment,neg
bankrupt,neg
bankruptcy,neg
baptism,pos
baptize,pos
bar,neg
barbarian,neg
barbarous,neg
bargain,pos
barren,neg
barrier,neg
bashful,neg
basic,pos
bastard,neg
battle,neg
battlefield,neg
beacon,pos
beastly,neg
beat,neg
beauteous,pos
beautify,pos
beauty,pos
befit,pos
befitting,pos
befriend,pos
beg,neg
beggar,neg
behalf,pos
behead,neg
belated,neg
belie,neg
belittle,neg
belligerent,neg
beloved,pos
belt,neg
benefactor,pos
beneficent,pos
beneficial,pos
beneficiary,pos
benefit,pos
benevolence,pos
benevolent,pos
benign,pos
bequeath,pos
bereave,neg
bereavement,neg
bereft,neg
berserk,neg
beseech,neg
beset,neg
besiege,neg
best,pos
bestow,pos
betray,neg
betrayal,neg
betroth,pos
betrothal,pos
better,pos
beware,neg
bewilder,neg
bewilderment,neg
bit,neg
bitchy,neg
bite,neg
bitter,neg
bitterness,neg
bizarre,neg
blackmail,neg
blah,neg
blame,neg
blameless,pos
bland,neg
blast,neg
blatant,neg
bleak,neg
blemish,neg
bless,pos
blind,neg
blindness,neg
bliss,pos
blissful,pos
blithe,pos
block,neg
blockhead,neg
bloodshed,neg
bloodthirsty,neg
bloody,neg
bloom,pos
blossom,pos
blow,neg
blunder,neg
blunt,neg
blur,neg
blurt,neg
board,pos
board,neg
boast,neg
boastful,neg
bogus,neg
boisterous,neg
boldness,pos
bolster,pos
bolt,neg
bomb,neg
bombard,neg
bombardment,neg
bondage,neg
bonny,pos
bonus,pos
boom,pos
boost,pos
boot,neg
bore,neg
boredom,neg
bother,neg
bothersome,neg
bound,neg
boundless,pos
bountiful,pos
bout,neg
box,neg
brag,neg
brainy,pos
brandish,neg
brat,neg
bravado,neg
brave,pos
bravery,pos
brawl,neg
brazen,neg
breach,neg
breadwinner,pos
break,neg
breakdown,neg
bribe,neg
bright,pos
brightness,pos
brilliance,pos
brilliant,pos
bristle,neg
brittle,neg
broke,neg
brood,neg
brotherhood,pos
brotherly,pos
bruise,neg
brusque,neg
brutality,neg
brute,neg
brutish,neg
buckle,neg
bug,neg
bullet,neg
bum,neg
bungle,neg
buoyant,pos
burden,neg
burdensome,neg
burglar,neg
burglary,neg
burn,neg
bury,neg
busybody,neg
butchery,neg
buy,pos
calamity,neg
call,pos
callous,neg
calm,pos
calmness,pos
cancel,neg
cancellation,neg
cancer,neg
candid,pos
candor,pos
cannibal,neg
cannon,neg
capability,pos
capable,pos
capital,neg
capitalize,pos
capitulate,neg
capricious,neg
capsize,neg
captivation,pos
captive,neg
capture,neg
care,pos
careen,neg
carefree,pos
careful,pos
careless,neg
carelessness,neg
caress,pos
casual,pos
casualty,neg
cataclysm,neg
catastrophe,neg
catch,neg
cave,neg
ceaseless,pos
celebrate,pos
celebration,pos
celebrity,pos
censor,neg
censorship,neg
censure,neg
ceremonial,pos
chafe,neg
challenge,neg
champ,pos
champion,pos
championship,pos
chaos,neg
chaotic,neg
charge,neg
charisma,pos
charitable,pos
charity,pos
charm,pos
chase,neg
chaste,pos
chastise,neg
cheap,neg
cheapen,neg
cheater,neg
cheer,pos
cheerful,pos
cheery,pos
cherish,pos
cherub,pos
chic,pos
chide,neg
childish,neg
chivalrous,pos
chivalry,pos
choke,neg
chore,neg
chosen,pos
chronic,neg
chum,pos
circle,neg
civil,pos
civility,pos
civilization,pos
civilize,pos
clamor,neg
clamorous,neg
clarify,pos
clarity,pos
clash,neg
